pk,age,sex,geoid,ii_1,ii_2,ii_3,tm_2_no_hisp_lat_orgn,tm_2_yes_mex_am_chicano_orgn,tm_2_yes_puerto_rican,tm_2_yes_cuban_origin,tm_2_yes_anthr_hisp_lat_spn_origin,tm_3_amrcn_indn_alsk_ntv,tm_3_asian,tm_3_blck_afrcn_amrcn,tm_3_hwan_other_pcfc_islander,tm_3_white,tm_3_other,tm_4,tm_5,tm_6,cn_hs_1,cn_hs_2_bug_infestation,cn_hs_2_mold,cn_hs_2_lead_paint_pipes,cn_hs_2_inadq_heat,cn_hs_2_oven_not_wkg,cn_hs_2_smoke_det_not_wkg,cn_hs_2_water_leaks,cn_hs_2_none_of_the_above,cn_fd_1,cn_fd_2,cn_tr_1,cn_ut_1,cn_sf_1,cn_sf_2,cn_sf_3,cn_sf_4,sn_ff_2
14462,62,M,080770007003,MYSELF,ONE,NONE_OF_THE_ABOVE,,,,,,0,0,0,0,1,0,GRD_12_HGH_SCHL,2,MORE_THN_15_LESS_THEN_20K,STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,NO,NO,NEVER,NEVER,NEVER,NEVER,NEVER
611,39,F,080770007003,OTHER,ONE,NONE_OF_THE_ABOVE,,,,,,,,,,,,"","","",STDY_HSNG,,,,,,,,,NEVER_TRUE,NEVER_TRUE,NO,NO,"","","","",""
11353,64,F,080770007003,OTHER,ONE,NONE_OF_THE_ABOVE,,,,,,,,,,,,"",1,LESS_THN_10K,STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,NO,NO,NEVER,NEVER,NEVER,NEVER,NEVER
13982,64,F,080770007003,MYSELF,ONE,NONE_OF_THE_ABOVE,1,0,0,0,0,0,0,0,0,1,0,CLG_1_3,1,LESS_THN_10K,STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,NO,NO,NEVER,RARELY,NEVER,NEVER,NEVER
8932,60,F,080770007003,OTHER,TWO_OR_MORE,NONE_OF_THE_ABOVE,,,,,,,,,,,,"","","",STDY_HSNG,,,,,,,,,NEVER_TRUE,NEVER_TRUE,NO,NO,"","","","",""
2231,64,F,080770007003,MYSELF,ZERO,NONE_OF_THE_ABOVE,,,,,,,,,,,,"",1,MORE_THN_25_LESS_THEN_35K,STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,NO,NO,NEVER,NEVER,NEVER,NEVER,NEVER
2149,46,M,080770007003,MYSELF,TWO_OR_MORE,NONE_OF_THE_ABOVE,,,,,,,,,,,,"","","",HSNG_UNSURE,0,0,0,0,0,0,0,1,SMTM_TRUE,SMTM_TRUE,YES,NO,NEVER,RARELY,NEVER,NEVER,SOMETIMES
1097,7,M,080770007003,MY_CHILD,ZERO,NONE_OF_THE_ABOVE,,,,,,,,,,,,"",8,MORE_THN_20_LESS_THEN_25K,STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,NO,NO,NEVER,NEVER,NEVER,NEVER,NEVER
13033,13,M,080770007003,MY_CHILD,ONE,NONE_OF_THE_ABOVE,1,0,0,0,0,0,0,0,0,1,0,"","","","",,,,,,,,,"","","","","","","","",""
7837,73,M,080770007003,MYSELF,ZERO,NONE_OF_THE_ABOVE,1,0,0,0,0,0,0,0,0,1,0,CLG_4,1,MORE_THN_25_LESS_THEN_35K,STDY_HSNG,1,0,0,0,0,0,0,0,NEVER_TRUE,NEVER_TRUE,NO,NO,NEVER,NEVER,NEVER,NEVER,NEVER
16940,60,F,080770007003,OTHER,ZERO,NONE_OF_THE_ABOVE,1,0,0,0,0,0,0,0,0,1,0,GRD_12_HGH_SCHL,2,MORE_THN_20_LESS_THEN_25K,STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,NO,NO,NEVER,NEVER,NEVER,NEVER,NEVER
1567,27,F,080770007003,MYSELF,TWO_OR_MORE,NONE_OF_THE_ABOVE,,,,,,,,,,,,"",1,LESS_THN_10K,STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,NO,NO,NEVER,RARELY,NEVER,NEVER,RARELY
14719,61,F,080770007003,OTHER,TWO_OR_MORE,NONE_OF_THE_ABOVE,,,,,,,,,,,,"","",LESS_THN_10K,HSNG_UNSURE,0,0,0,0,0,0,0,1,SMTM_TRUE,SMTM_TRUE,YES,"","","","","",""
10226,47,F,080770007003,ANOTHER_ADULT_CARE,ONE,NONE_OF_THE_ABOVE,,,,,,,,,,,,"",5,LESS_THN_10K,STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,NO,NO,NEVER,NEVER,NEVER,NEVER,NEVER
19320,60,F,080770007003,MYSELF,TWO_OR_MORE,NONE_OF_THE_ABOVE,,,,,,,,,,,,"","",LESS_THN_10K,HSNG_UNSURE,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,NO,YES,NEVER,FREQUENTLY,NEVER,RARELY,ALWAYS
12977,7,M,080770007003,MY_CHILD,TWO_OR_MORE,NONE_OF_THE_ABOVE,,,,,,,,,,,,"","","",STDY_HSNG,,,,,,,,,"","","","","","","","",""
15718,45,F,080770007003,MYSELF,ZERO,NONE_OF_THE_ABOVE,,,,,,,,,,,,"",2,"",STDY_HSNG,0,0,0,0,0,0,0,1,OFTEN_TRUE,OFTEN_TRUE,NO,YES,NEVER,NEVER,NEVER,NEVER,RARELY
17263,33,F,080770007003,MYSELF,ZERO,NONE_OF_THE_ABOVE,0,0,0,0,1,0,0,0,0,0,1,CLG_1_3,3,MORE_THN_75K,STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,NO,NO,NEVER,NEVER,NEVER,NEVER,SOMETIMES
13891,32,M,080770007003,OTHER,TWO_OR_MORE,NONE_OF_THE_ABOVE,,,,,,,,,,,,"","","",STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,NO,NO,"","","","",""
18371,57,M,080770007003,MYSELF,TWO_OR_MORE,NONE_OF_THE_ABOVE,,,,,,,,,,,,"",2,MORE_THN_10_LESS_THEN_15K,STDY_HSNG,0,0,0,0,0,1,0,0,SMTM_TRUE,SMTM_TRUE,NO,NO,NEVER,RARELY,NEVER,NEVER,NEVER
